employee_id,persona,satisfaction_score,productivity_baseline,resistance_propensity,training_times_yr,digital_dexterity,collab_density,app_activation_rt,enps_score,email_vol_daily,meetings_per_week,teams_msg_daily,tickets_per_month,ticket_category,resolution_hrs,reopened_rate,support_dependency,frustration_level,app_crash_rate,avg_load_time_sec,session_duration_min,friction_level,dex_feedback,pulse_sat,logins_per_day,failed_logins_wk,lms_completion,assessment_score,time_to_complete_hr,churn_risk_flag,is_amplifier,gmm_cluster,PU_INITIAL,PEOU_INITIAL,resistance_weight,social_weight,threshold_awareness_to_interest,threshold_interest_to_trial,threshold_trial_to_adoption,is_amplifier_network
75c02f6f-2b0a-4b9e-9256-a8fbf7f2a05d,Tech Pioneer,8.008,0.92,0.118,5,8.57,0.593,0.874,67.0,64.75,8.98,41.0,0,Password Reset,0.48,0.232,0.0,0.108,0.018,1.52,45.0,0.074,7.7,4.04,10,0,0.999,81.4,4.91,0,0,1,9.122755372387399,9.18648658452535,0.102136,0.05202060641742724,0.4527660000000002,0.7546100000000004,1.358298000000001,False
00671d4e-47d3-4ea7-8cb6-4e37b2286e53,Tech Pioneer,8.868,0.812,0.048,5,8.342,0.645,0.933,76.7,53.01,12.24,36.69,0,Software Install,0.2,0.038,0.0,0.018,0.007,1.55,46.7,0.027,8.26,3.89,8,0,0.843,82.3,4.96,0,0,1,8.129231675007357,8.867876618744182,0.102136,0.12066455696202542,0.4527660000000002,0.7546100000000004,1.358298000000001,False
6d171069-53a2-4e2f-8c05-9871533a7241,Tech Pioneer,9.331,0.908,0.078,5,8.405,0.682,1.0,82.1,63.41,15.11,44.9,0,Access / Permissions,0.3,0.008,0.0,0.006,0.223,1.72,60.9,0.087,8.31,4.29,8,0,0.861,90.1,4.19,1,0,1,9.184574624668825,8.916121543353928,0.102136,0.05561201059758619,0.4527660000000002,0.7546100000000004,1.358298000000001,False
f2e87e30-a3d4-421f-984c-b13d1836437f,Tech Pioneer,9.252,0.895,0.082,5,8.634,0.651,0.856,77.4,67.13,11.04,46.31,4,Access / Permissions,1.43,0.045,0.4,0.031,0.001,1.61,60.0,0.032,7.68,4.04,7,0,0.97,94.7,4.02,0,0,1,8.773918163085073,9.322636421895217,0.102136,0.07981792758316177,0.4527660000000002,0.7546100000000004,1.358298000000001,False
1f6f85be-16de-42cc-87a8-b52e38c8e763,Tech Pioneer,8.239,0.826,0.034,6,8.562,0.662,0.937,72.1,70.82,9.54,56.13,0,Password Reset,0.49,0.098,0.0,0.048,0.009,1.21,59.8,0.039,7.22,3.87,6,0,0.877,86.1,3.63,0,0,1,8.35001471886959,9.203535542846087,0.102136,0.10922902561083318,0.4527660000000002,0.7546100000000004,1.358298000000001,False
4d458b64-545b-4227-82a9-4a8de2fdd099,Tech Pioneer,8.186,0.815,0.137,5,8.316,0.598,0.826,64.6,60.2,10.63,42.06,2,Software Install,1.16,0.1,0.2,0.054,0.045,2.2,52.3,0.063,6.85,3.55,3,0,0.858,88.2,3.8,0,0,1,7.722990874300852,8.796537005912725,0.102136,0.13616514571680902,0.4527660000000002,0.7546100000000004,1.358298000000001,False
f0284d78-251c-49e3-b5c4-d8c662b54c3b,Tech Pioneer,8.366,0.924,0.126,6,8.85,0.625,0.89,68.5,59.37,13.75,40.28,0,Software Install,1.73,0.039,0.0,0.031,0.008,2.32,55.0,0.041,7.08,3.59,8,1,0.937,97.9,2.6,0,0,1,9.040329702678836,9.65454699345852,0.102136,0.05997939358257279,0.4527660000000002,0.7546100000000004,1.358298000000001,False
b7e9e835-232a-46b8-affa-b020212aa16c,Tech Pioneer,8.788,0.854,0.094,5,9.046,0.635,0.924,80.4,53.98,9.71,39.36,0,Access / Permissions,2.75,0.075,0.0,0.055,0.007,1.97,64.8,0.049,8.61,4.25,4,0,0.969,87.7,2.36,0,0,1,8.769502502207828,9.955866171722912,0.102136,0.07813659110980287,0.4527660000000002,0.7546100000000004,1.358298000000001,False
22689e5e-5756-4705-ac93-9a9d9dfb48f4,Tech Pioneer,8.024,0.878,0.126,4,8.323,0.597,0.851,63.9,54.38,9.4,35.53,2,Password Reset,0.1,0.037,0.2,0.017,0.025,1.61,37.1,0.032,6.61,3.34,5,0,0.946,100.0,3.1,0,0,1,8.556078893141006,8.833778702102705,0.102136,0.08620209007948194,0.4527660000000002,0.7546100000000004,1.358298000000001,False
191a45cd-9c1d-47de-b9ec-071a19a764b2,Tech Pioneer,9.521,0.864,0.141,4,8.375,0.611,0.919,72.4,59.19,10.03,40.37,1,Software Install,4.16,0.009,0.1,0.036,0.016,1.45,55.3,0.037,7.71,4.09,3,0,0.96,90.0,2.95,0,0,1,8.794524580512215,8.911284959433154,0.102136,0.07365454813070366,0.4527660000000002,0.7546100000000004,1.358298000000001,False
