week,adoption_mean,adoption_p05,adoption_p95,productivity_mean,frustration_mean,tickets_mean,tickets_p95,exs_mean,resistance_mean,productivity_delta_true
0,0.382,0.382,0.382,0.641719,0.151786,0.0,0.0,68.24155999999999,0.0,0.0
1,0.382,0.382,0.382,0.6311440266666667,0.15274890000000002,312.3,334.1,67.9781093,0.0,-0.010574973333333348
2,0.382,0.382,0.382,0.6198112863999999,0.15333201000000002,307.9,330.2,67.617718242,0.0,-0.0219077136000001
3,0.382,0.382,0.382,0.6059046693466666,0.15422796750000003,314.6666666666667,338.55,67.1691612179,0.0,-0.03581433065333339
4,0.382,0.382,0.382,0.5888336366293333,0.15478118070000002,307.73333333333335,327.65,66.63766777437999,0.0,-0.05288536337066674
5,0.382,0.382,0.382,0.5704352980720001,0.155474858706,316.8333333333333,342.84999999999997,66.06143888745,0.0,-0.07128370192799993
6,0.382,0.382,0.382,0.5517872810612933,0.1554344452953,310.06666666666666,341.65,65.5034128465033,0.0,-0.08993171893870677
7,0.382,0.382,0.382,0.5328062543988586,0.15590676029928002,309.46666666666664,339.69999999999993,64.91745102149096,0.293,-0.10891274560114139
8,0.382,0.382,0.382,0.5133350897123342,0.156156002957952,310.96666666666664,339.1,64.32459258784169,0.293,-0.12838391028766583
9,0.382,0.382,0.382,0.49374461002635284,0.15634318341734763,311.1333333333333,342.2,63.73032688118341,0.293,-0.1479743899736472
10,0.382,0.382,0.382,0.4754343556642432,0.15684857633100285,313.4,355.24999999999994,63.1633304983422,0.293,-0.16628464433575685
11,0.382,0.382,0.382,0.45991721272511765,0.15750588454068465,316.1,343.75,62.67481042282956,0.293,-0.1818017872748824
12,0.382,0.382,0.382,0.44827387451035017,0.15783573136746698,318.96666666666664,341.2,62.31396563744916,0.293,-0.19344512548964987
13,0.382,0.382,0.382,0.4402708273835407,0.15855269608234507,319.6666666666667,338.1,62.048780458624144,0.293,-0.20144817261645936
14,0.382,0.382,0.382,0.4346211163585695,0.1583994572539202,309.9,333.0,61.884652486869875,0.293,-0.20709788364143056
15,0.382,0.382,0.382,0.4295488515019105,0.15879282273127548,314.7,335.0,61.71871674946268,0.293,-0.21217014849808952
16,0.382,0.382,0.382,0.4247145003964548,0.15903241232770063,314.1333333333333,337.55,61.56530058042412,0.293,-0.21700449960354523
17,0.382,0.382,0.382,0.4201109819706052,0.1589504295423225,310.46666666666664,339.0,61.43881442513687,0.293,-0.22160801802939484
18,0.382,0.382,0.382,0.4158224924446374,0.15852625916969704,306.93333333333334,327.55,61.32500570239972,0.293,-0.2258965075553626
19,0.382,0.382,0.382,0.41188574566271535,0.15841990187467336,309.6333333333333,339.99999999999994,61.21062580426789,0.293,-0.2298332543372847
20,0.382,0.382,0.382,0.4083100758853766,0.15894343106739653,320.8,342.55,61.085032189202416,0.293,-0.23340892411462344
21,0.382,0.382,0.382,0.4051233760521267,0.15873912020103917,308.8,338.95,60.996582074527424,0.293,-0.2365956239478733
22,0.382,0.382,0.382,0.4022728281566738,0.15876795413883327,316.6,349.4,60.91005644984104,0.293,-0.23944617184332623
23,0.382,0.382,0.382,0.3997211311595523,0.1584262125532658,306.3333333333333,328.2,60.84546649542226,0.293,-0.24199786884044772
24,0.382,0.382,0.382,0.39745014798739664,0.1586191954638387,308.76666666666665,339.75,60.77058259838755,0.293,-0.2442688520126034
25,0.382,0.382,0.382,0.39545471000670457,0.15837589969457092,307.3,338.84999999999997,60.71923481089115,0.293,-0.24626428999329547
26,0.382,0.382,0.382,0.3936990375155354,0.15848259893090486,311.76666666666665,345.55,60.66283016288438,0.293,-0.24801996248446462
27,0.382,0.382,0.382,0.39216936465570024,0.15836039634370286,312.06666666666666,344.69999999999993,60.6212170676414,0.293,-0.2495496353442998
28,0.382,0.382,0.382,0.3908259028936181,0.15833050948116062,310.26666666666665,338.2,60.58195925496792,0.293,-0.2508930971063819
29,0.382,0.382,0.382,0.389654438323133,0.1583564205030709,312.56666666666666,343.84999999999997,60.545908432086506,0.293,-0.252064561676867
30,0.382,0.382,0.382,0.38862405146225315,0.15828281884307197,314.73333333333335,342.84999999999997,60.51757288436007,0.293,-0.2530949485377469
31,0.382,0.382,0.382,0.38771021149765467,0.15844588529257875,313.06666666666666,328.95,60.48445035968938,0.293,-0.2540087885023454
32,0.382,0.382,0.382,0.3869000003853906,0.1584316599107013,311.76666666666665,333.55,60.460641914687166,0.293,-0.25481899961460946
33,0.382,0.382,0.382,0.386194306279018,0.1587944957854425,317.1666666666667,339.0,60.42677183588005,0.293,-0.255524693720982
34,0.382,0.382,0.382,0.3855724535973631,0.1589087205692251,310.6,338.65,60.40411838799801,0.293,-0.25614654640263695
35,0.382,0.382,0.382,0.3850290131533114,0.1587208807629247,311.03333333333336,329.65,60.39438956789697,0.293,-0.25668998684668864
36,0.382,0.382,0.382,0.38454835240722346,0.15859055994341242,309.96666666666664,330.2,60.38453097419726,0.293,-0.2571706475927766
37,0.382,0.382,0.382,0.3841217707920818,0.15887137595522274,317.0,337.2,60.36190496532966,0.293,-0.2575972292079182
38,0.382,0.382,0.382,0.38374233142997055,0.15880945077788594,308.1,330.04999999999995,60.35268916567311,0.293,-0.2579766685700295
39,0.382,0.382,0.382,0.38341984283076125,0.15875635660726015,315.6,340.4,60.34487280366873,0.293,-0.2582991571692388
40,0.382,0.382,0.382,0.38313576679914113,0.15854263129044444,311.7,351.0,60.352580908808676,0.293,-0.2585832332008589
41,0.382,0.382,0.382,0.38288779957961094,0.15843317131678378,313.6666666666667,337.1,60.34897299130089,0.293,-0.2588312004203891
42,0.382,0.382,0.382,0.3826918160755261,0.15821935873016174,314.23333333333335,347.1,60.35057692671012,0.293,-0.25902718392447394
43,0.382,0.382,0.382,0.38253258814601726,0.15808984706650647,312.4,336.0,60.35033299705279,0.293,-0.2591864118539828
44,0.382,0.382,0.382,0.38240128414405405,0.1584485389034637,316.96666666666664,350.95,60.33383966270039,0.293,-0.259317715855946
45,0.382,0.382,0.382,0.3822918822050747,0.15844101809812766,309.43333333333334,338.65,60.33082083271777,0.293,-0.25942711779492533
46,0.382,0.382,0.382,0.3822164878719121,0.1589250427631441,316.8666666666667,343.65,60.31161813944731,0.293,-0.25950251212808795
