week,adoption_mean,adoption_p05,adoption_p95,productivity_mean,frustration_mean,tickets_mean,tickets_p95,exs_mean,resistance_mean,productivity_delta_true
0,0.382,0.382,0.382,0.641719,0.151786,0.0,0.0,68.24155999999999,0.0,0.0
1,0.3849666666666666,0.38345,0.387,0.634189716,0.1491624,420.46666666666664,448.65,68.99359081333334,0.0,-0.0075292840000000805
2,0.38680000000000003,0.38345,0.39,0.6263194562666666,0.14688216,423.1,454.65,68.89649975466666,0.0,-0.01539954373333341
3,0.3891666666666667,0.38545,0.392,0.6161407034933333,0.144532944,422.1666666666667,452.55,68.72673473146666,0.0,-0.025578296506666764
4,0.3923666666666667,0.388,0.396,0.6019224534240001,0.14244834036,418.53333333333336,460.69999999999993,68.44344002345333,0.0,-0.03979654657599996
5,0.39616666666666667,0.393,0.39955,0.585020485752,0.140700006324,417.2,458.65,68.08478101788666,0.0,-0.05669851424799999
6,0.40130000000000005,0.397,0.40654999999999997,0.5672874502912666,0.13889231734860003,419.56666666666666,448.1,67.725142401537,0.0,-0.07443154970873345
7,0.4063333333333333,0.402,0.41054999999999997,0.5497189072837373,0.13721402534757002,409.3333333333333,441.65,67.38107633134716,0.293,-0.09200009271626275
8,0.41173333333333334,0.40645,0.41709999999999997,0.5325370873305484,0.135465506030427,418.43333333333334,446.1,67.0536949088515,0.293,-0.10918191266945165
9,0.41769999999999996,0.4119,0.42255,0.5159944217705148,0.13363023575126762,402.93333333333334,425.95,66.76544106848775,0.293,-0.12572457822948524
10,0.42373333333333335,0.417,0.429,0.5012302405674186,0.1321840543933142,404.26666666666665,434.84999999999997,66.51896531325656,0.293,-0.14048875943258143
11,0.43069999999999997,0.42335,0.43755,0.4897707927795281,0.1306246153256591,402.8666666666667,435.84999999999997,66.39951224698777,0.293,-0.15194820722047192
12,0.43906666666666666,0.433,0.445,0.4824805597219397,0.12946489124059862,400.1333333333333,429.1,66.41477059823724,0.293,-0.15923844027806033
13,0.4482,0.4429,0.4551,0.478838787000736,0.12828785911196977,400.03333333333336,436.04999999999995,66.57567187443648,0.293,-0.16288021299926403
14,0.4593,0.45245,0.46555,0.47714539126330174,0.12697182533276305,391.1666666666667,413.29999999999995,66.82059785125234,0.293,-0.1645736087366983
15,0.4732333333333333,0.46645000000000003,0.48109999999999997,0.47620909161963787,0.12585032214762462,385.6333333333333,421.24999999999994,67.14326147342227,0.293,-0.16550990838036217
16,0.4921333333333333,0.4809,0.502,0.47608862145571684,0.12439054685009297,384.4,415.1,67.57982283725158,0.293,-0.1656303785442832
