employee_id,persona,satisfaction_score,productivity_baseline,resistance_propensity,training_times_yr,digital_dexterity,collab_density,app_activation_rt,enps_score,email_vol_daily,meetings_per_week,teams_msg_daily,tickets_per_month,ticket_category,resolution_hrs,reopened_rate,support_dependency,frustration_level,app_crash_rate,avg_load_time_sec,session_duration_min,friction_level,dex_feedback,pulse_sat,logins_per_day,failed_logins_wk,lms_completion,assessment_score,time_to_complete_hr,churn_risk_flag,is_amplifier,gmm_cluster
0d50e4d2-2531-4847-af50-ae45c19dd31a,Tech Pioneer,8.008,0.92,0.118,5,8.57,0.593,0.874,67.0,64.75,8.98,41.0,0,Password Reset,0.48,0.232,0.0,0.108,0.018,1.52,45.0,0.074,7.7,4.04,10,0,0.999,81.4,4.91,0,0,1
b3dfcd5a-bb2f-4618-87b2-9b30c4891280,Tech Pioneer,8.868,0.812,0.048,5,8.342,0.645,0.933,76.7,53.01,12.24,36.69,0,Software Install,0.2,0.038,0.0,0.018,0.007,1.55,46.7,0.027,8.26,3.89,8,0,0.843,82.3,4.96,0,0,1
8bbb6f13-0b2c-424d-85d0-6c9d91a0be3a,Tech Pioneer,9.331,0.908,0.078,5,8.405,0.682,1.0,82.1,63.41,15.11,44.9,0,Access / Permissions,0.3,0.008,0.0,0.006,0.223,1.72,60.9,0.087,8.31,4.29,8,0,0.861,90.1,4.19,1,0,1
74946b55-cc87-4d21-8705-64ac022d3505,Tech Pioneer,9.252,0.895,0.082,5,8.634,0.651,0.856,77.4,67.13,11.04,46.31,4,Access / Permissions,1.43,0.045,0.4,0.031,0.001,1.61,60.0,0.032,7.68,4.04,7,0,0.97,94.7,4.02,0,0,1
9c59a841-1f02-4615-9583-a3551e3da8b0,Tech Pioneer,8.239,0.826,0.034,6,8.562,0.662,0.937,72.1,70.82,9.54,56.13,0,Password Reset,0.49,0.098,0.0,0.048,0.009,1.21,59.8,0.039,7.22,3.87,6,0,0.877,86.1,3.63,0,0,1
ac9abe84-3c1d-4fe4-907a-0534602d55f0,Tech Pioneer,8.186,0.815,0.137,5,8.316,0.598,0.826,64.6,60.2,10.63,42.06,2,Software Install,1.16,0.1,0.2,0.054,0.045,2.2,52.3,0.063,6.85,3.55,3,0,0.858,88.2,3.8,0,0,1
857ff006-060e-4bfc-8058-bcf4210b298f,Tech Pioneer,8.366,0.924,0.126,6,8.85,0.625,0.89,68.5,59.37,13.75,40.28,0,Software Install,1.73,0.039,0.0,0.031,0.008,2.32,55.0,0.041,7.08,3.59,8,1,0.937,97.9,2.6,0,0,1
fec29587-aa67-4acb-a158-2cd688b11756,Tech Pioneer,8.788,0.854,0.094,5,9.046,0.635,0.924,80.4,53.98,9.71,39.36,0,Access / Permissions,2.75,0.075,0.0,0.055,0.007,1.97,64.8,0.049,8.61,4.25,4,0,0.969,87.7,2.36,0,0,1
3b4e622c-d6bb-496c-ad52-8e56bb5215cf,Tech Pioneer,8.024,0.878,0.126,4,8.323,0.597,0.851,63.9,54.38,9.4,35.53,2,Password Reset,0.1,0.037,0.2,0.017,0.025,1.61,37.1,0.032,6.61,3.34,5,0,0.946,100.0,3.1,0,0,1
86c8b1ea-0a84-4030-b749-79aebc6144ea,Tech Pioneer,9.521,0.864,0.141,4,8.375,0.611,0.919,72.4,59.19,10.03,40.37,1,Software Install,4.16,0.009,0.1,0.036,0.016,1.45,55.3,0.037,7.71,4.09,3,0,0.96,90.0,2.95,0,0,1
b9f81d98-cb2a-487e-8322-603ddea84dfc,Tech Pioneer,7.915,0.858,0.118,5,8.355,0.584,0.904,74.2,63.94,9.09,35.93,0,Access / Permissions,2.45,0.251,0.0,0.132,0.006,1.45,56.1,0.082,7.67,4.09,8,1,0.872,73.7,2.69,0,0,1
fc6c4c49-3c6a-490a-b7f8-20c666293436,Tech Pioneer,8.665,0.842,0.119,5,8.536,0.63,0.913,77.3,68.31,11.25,39.18,0,Software Install,0.21,0.043,0.0,0.021,0.015,2.98,64.0,0.045,8.07,3.99,6,1,0.839,91.3,3.73,0,0,1
386fb1ac-5f4d-49f5-a986-9bdb2477291b,Tech Pioneer,8.333,0.808,0.149,5,8.48,0.615,0.874,69.0,54.57,14.25,47.22,1,Access / Permissions,5.4,0.242,0.1,0.15,0.054,2.27,38.8,0.114,7.12,3.67,11,0,0.985,88.7,3.96,0,0,1
f46b85eb-77e5-4b48-8b9b-0699dced0084,Tech Pioneer,7.71,0.818,0.12,5,8.631,0.672,0.909,73.7,72.94,11.65,30.95,1,Software Install,6.28,0.097,0.1,0.091,0.078,1.38,72.9,0.083,7.91,4.0,7,0,0.894,95.0,3.18,0,0,1
1b0205e0-503c-408a-a9f9-ea233ac51f10,Tech Pioneer,8.316,0.861,0.118,4,7.975,0.589,0.881,71.5,58.83,10.5,45.98,1,Password Reset,0.16,0.156,0.1,0.072,0.055,1.88,57.6,0.071,7.72,3.7,10,0,0.897,90.7,4.43,0,0,1
32f31962-e8a2-4f0a-a448-1a7b7924c1d1,Tech Pioneer,7.591,0.864,0.213,6,8.57,0.664,0.932,64.1,60.83,10.42,47.22,2,Software Install,0.93,0.18,0.2,0.088,0.048,1.62,58.2,0.075,6.95,3.93,9,0,0.976,85.0,2.07,0,0,1
e945a00b-1e9a-45fd-bd9e-fcbfa5edb465,Tech Pioneer,9.184,0.88,0.129,5,8.433,0.613,0.833,71.0,55.02,7.87,37.17,0,Access / Permissions,4.12,0.106,0.0,0.079,0.022,2.09,50.2,0.067,7.63,3.91,6,1,0.938,77.4,2.93,0,0,1
f2f31636-43a0-4d8c-9e53-e0196e3c581e,Tech Pioneer,8.532,0.869,0.137,6,8.753,0.651,0.937,79.8,41.61,12.77,23.15,0,Access / Permissions,3.51,0.144,0.0,0.091,0.059,2.07,61.5,0.084,7.81,4.27,5,0,0.933,84.5,2.45,0,0,1
4c883a52-01dc-45cc-92f1-60cfdcf10de2,Tech Pioneer,8.833,0.887,0.145,5,8.337,0.628,0.918,69.4,68.07,10.84,33.75,1,Access / Permissions,0.54,0.153,0.1,0.073,0.079,2.34,55.6,0.084,7.38,3.91,5,0,1.0,80.0,1.42,0,0,1
42bafa8d-993c-492f-97f6-de085cc84b2e,Tech Pioneer,8.66,0.912,0.088,5,8.552,0.701,0.968,78.8,66.89,10.64,47.08,1,VPN / Network,0.55,0.189,0.1,0.089,0.082,1.37,69.5,0.083,8.59,4.04,10,0,0.878,81.9,3.03,0,0,1
